Location;Driving;Sports;Music;Party;Markets;Events;Shopping;Nature;Sophistication;Water;Adventure;Relaxation;Surfing;Animals;Skydiving;Kayaking;Food&Drink;Nightlife;Fun;Biking;Outlook;Art;Wintersports;Hiking;Culture;Tours;Diving;Sightseeing
Marrakech;2.005333333333333;4.962088642996108;;;3.2010130556737466;;3.189744276041762;3.487424857683569;3.8735882683202196;3.5855229700854703;;0.4701333333333333;;;;;1.3786666666666667;2.441833333333333;3.540522072072072;;2.7723241666666665;3.8735882683202196;;2.2253654618473893;3.5939438043140943;;;3.703198910412044
Casablanca;2.005333333333333;;;0.37129999999999996;2.773747727272727;;3.617931818181818;2.78467942583732;3.3465000000000003;3.634031319290466;;3.658956607142857;;;;;;;3.369766171328671;;3.7103994565217384;3.3465000000000003;;;3.6725469755469753;;;3.250155846702684
Cape Town;3.926632142857143;3.9117877358490567;;;3.447495879950401;;3.41041161296102;3.9684491902540073;4.099705273526726;3.9221574223267854;;3.993626533639496;;2.1759845952787122;;;2.975299278846154;1.408;3.574209274673008;2.2116000000000007;3.9065731366266063;3.791000338294993;;3.9010850456621;3.8969804481676835;;;3.7746923859517514
Livingstone;;2.3280000000000003;;;;;;4.658659318472192;1.4666666666666668;2.666666666666667;;;;;;;;;;;3.635377462568953;1.4666666666666668;;1.3677000000000001;2.8826666666666663;;;4.9262332312095625
Johannesburg;;3.7120181405895694;;;4.086072743467933;;4.089700297619047;3.8203758539003965;3.8068462078651684;2.8740344999999996;;;;3.9184441260744984;;;2.728000992063492;1.03776;4.135952057926829;;2.268364620938628;3.8181217105263157;;2.4241378378378378;4.043517534347854;;;3.9722765743176587
Durban;;1.6371568155890803;;;3.0628296460176987;;3.0938364485981302;4.136437587657784;3.816633823529412;3.8700399917253083;1.4841000000000002;2.005333333333333;;3.33022662347561;;;1.7296;2.005333333333333;3.9683351622261402;2.3280000000000003;2.005333333333333;3.816633823529412;;;3.713520833333334;;;2.5284663704346966
Cairo;;;1.4333333333333333;;3.167800245098039;;3.167800245098039;4.064931535883281;4.147061988752556;2.3280000000000003;;;;1.9687216796875;;;1.9269531249999998;0.7215999999999998;1.4871201923076922;;2.8799648121034647;4.147061988752556;;2.347774279012964;4.180298087366049;;;4.17679542854672
Algiers;;;;;;;;4.153460020661156;3.778514838129496;1.295233333333333;2.3280000000000003;2.4092231422505304;;1.02;;;;;1.295233333333333;;2.4092231422505304;3.778514838129496;;2.0053333333333336;4.019850765306122;;;3.8902724898063203
Sharm El Sheikh;;2.3280000000000003;;;1.6986666666666663;;1.6986666666666663;3.6979417089266486;;3.8175037704145645;2.0125;4.342135431323645;;2.9062031249999998;;;;3.276830409356725;2.910512877840102;;4.342135431323645;;;;4.445303032544379;;;3.8633611966824644
Arusha;;;;;2.7896503875968985;;2.7896503875968985;4.071542321428571;1.8941266666666667;3.058467741935484;;2.4300595238095237;;2.0053333333333327;;;;;;;2.4300595238095237;1.8941266666666667;;;3.9312249708963907;;;4.327673333333334
