Location;Driving;Sports;Music;Party;Markets;Events;Shopping;Nature;Sophistication;Water;Adventure;Relaxation;Surfing;Animals;Skydiving;Kayaking;Food&Drink;Nightlife;Fun;Biking;Outlook;Art;Wintersports;Hiking;Culture;Tours;Diving;Sightseeing
Seoul;1.0277333333333334;4.193612137681159;1.7169000000000003;;3.757690223214897;3.3115240384615388;3.603420027118363;4.149711760430025;3.95694056076179;3.719675;;;;3.718323095823096;;;2.0053333333333336;2.441833333333333;3.753815988563304;;2.5470240384615384;3.95694056076179;;4.34934701356118;3.8599212150208233;;;3.7958994117171767
Istanbul;2.8006058810763887;3.3744336805555557;;1.7343374999999999;3.645097251838836;;3.53241432488509;3.931975282354422;3.828242903065739;3.2722460903625987;;3.5504420148725204;;4.32368592223127;;;3.747464939024391;;2.6321136904761904;;3.5521715474722555;3.7939082706280924;;4.3301410586068725;3.9995148565234815;;;3.9442917767975034
Manila;;1.5234625;;;3.729597328244275;;2.8791082041343667;2.932069925376536;3.727354508196721;2.3490082781456945;;;;1.62736396709554;;;0.4482666666666666;1.2315333333333334;1.7421302083333328;;2.0053333333333336;3.700555970149254;;1.5199207428833792;3.7923220488208065;;;3.1191133389864274
Dhaka Division;;1.6293333333333335;;;2.7236960784313724;;2.005333333333333;3.3297648026315785;3.175987268518519;2.7892961309523807;;2.4294016203703697;;1.6986666666666665;;;;;1.5500333333333334;;3.391997654155495;3.175987268518519;;1.4333333333333333;3.8223303730677762;;;3.867000492384453
Hong Kong;;4.0360068204365085;;;3.236199758000868;3.587927404988123;3.319387077052106;3.650194253555153;2.999128508316008;3.690535740256932;2.005333333333333;3.7683724791937605;;2.86798184729174;;;2.835375757575757;;3.5985093756465893;;3.7750243123798084;2.999128508316008;;3.755310431536984;3.635240894365313;;;3.6792367646114132
Ho Chi Minh City;1.1530666666666667;2.3635859375;;;3.088852026937697;;3.1612229819304623;3.470167805667287;3.7839947799521827;3.59581746031746;;;;3.4657891955829045;;;2.647431818181818;1.4486645833333336;3.672313755980861;;2.5036421591815503;3.7839947799521827;;;3.645643689270119;;;3.709741756011882
Tokyo;;3.6924311413244535;;;2.566435444800847;2.8604831560283683;3.9476155428112674;3.627234008084568;3.8869970742856035;3.72122682972837;;3.673677476415094;;3.7455633651503906;;;1.6575333333333333;;3.5408513431425463;1.7546666666666666;3.9168788045872804;3.8882408701272095;;3.6310477612910534;3.39955874058694;;;3.457331761081997
Kuala Lumpur;;1.7308151041666668;;;3.4882553400111185;;3.4586887383640494;3.6473332586386484;3.3364396649056776;2.833586738890839;;;;3.1083455745972377;;;2.3280000000000003;;3.611003793626707;1.4287999999999998;1.1568517333333335;3.3364396649056776;;2.3280000000000003;3.681157962008179;;;3.6589647563467875
Singapore;;4.069126575157516;1.4550000000000003;;3.1449273422562136;4.030702856529209;3.367491091391839;3.842133178601286;3.775323982835347;4.097067748403976;;3.9687866822429907;;2.533205125015755;;;2.9702375;2.8783589651870116;3.784849709629891;3.5693142857142854;4.062115170058206;3.788116014799155;2.0150555555555556;4.109360107966174;3.878935722004915;;;3.6404325598372176
Phnom Penh;;3.7264950495049503;;;3.155673013643489;;3.1334902953410637;1.6986666666666665;3.6686044999999994;2.415404395604395;;;;;;;;1.6986666666666665;3.135729674796748;;;3.6989715909090903;;;3.5886881491681595;;;3.6326986765113523
