Name;Continent;Lat;Long
Marrakech;Africa;;
Casablanca;Africa;;
Cape Town;Africa;;
Livingstone;Africa;;
Johannesburg;Africa;;
Durban;Africa;;
Cairo;Africa;;
Algiers;Africa;;
Sharm El Sheikh;Africa;;
Arusha;Africa;;
Seoul;Asia;;
Istanbul;Asia;;
Manila;Asia;;
Dhaka Division;Asia;;
Hong Kong;Asia;;
Ho Chi Minh City;Asia;;
Tokyo;Asia;;
Kuala Lumpur;Asia;;
Singapore;Asia;;
Phnom Penh;North America;;
New York City;North America;;
Orlando;North America;;
New Orleans;North America;;
Dallas;North America;;
Seattle;North America;;
Chicago;North America;;
Miami;North America;;
Washington DC;North America;;
Las Vegas;North America;;
Mexico City;North America;;
Melbourne;Oceanina;;
Sydney;Oceanina;;
Hobart;Oceanina;;
Suva;Oceanina;;
Port Moresby;Oceanina;;
Bora Bora;Oceanina;;
Perth;Oceanina;;
Adelaide;Oceanina;;
Papeete;Oceanina;;
Auckland;Oceanina;;
Santiago;South America;;
Buenos Aires;South America;;
Asuncion;South America;;
Caracas;South America;;
Montevideo;South America;;
Rio de Janeiro;South America;;
Quito;South America;;
La Paz;South America;;
Lima;South America;;
Bogota;South America;;
Berlin;Europe;;
Rhodes;Europe;;
Athens;Europe;;
Dublin;Europe;;
Rome;Europe;;
Cork;Europe;;
Lisbon;Europe;;
Paris;Europe;;
London;Europe;;
Warsaw;Europe;;
