Location;Driving;Sports;Music;Party;Markets;Events;Shopping;Nature;Sophistication;Water;Adventure;Relaxation;Surfing;Animals;Skydiving;Kayaking;Food&Drink;Nightlife;Fun;Biking;Outlook;Art;Wintersports;Hiking;Culture;Tours;Diving;Sightseeing
New York City;;3.6524826552354246;2.445147727272727;;3.6388306702121294;4.238329280821918;3.8764605693201726;4.086839770403748;4.019544468014045;4.26500369685767;1.0528;3.7088783837579617;;1.0646565333333335;;;3.738331106870229;;3.2279209302325578;3.586141544117647;3.7458431938931347;4.008827195289385;;4.052145987084871;3.8997392953404426;;;3.954663501885421
Orlando;1.4;3.787847531847134;2.824015625;;2.614283266129032;1.4355321;3.404405037825722;4.162585188256186;4.154894602851324;2.7664412263437876;1.4;0.8918;;4.7452014228304575;;;1.6005000000000003;;3.575919387542299;1.2804;3.721878603466289;4.207808990641711;;2.8750427305640245;4.102695788865611;;;3.3551687284929623
New Orleans;;4.141938936121323;3.9676302083333335;;4.119081876115517;4.144352594339623;3.8213145345854493;4.1092288400272965;4.352013274391515;2.0053333333333327;1.6587000000000003;;;1.6368969964864641;;;2.9190680555555555;1.0692688;3.732722048733165;;;4.335867604552339;;3.5309893052143955;4.140644244975161;;;4.062224203532812
Dallas;;2.976509969654378;3.8024060527825583;;3.7313842105263157;;2.4630500000000004;4.049762755886775;4.423457542077061;4.262853031015037;;;;4.27682521666545;;;2.3843812500000006;;2.5394210526315786;1.9347928571428574;1.7434428375;4.259532252863977;;3.824089953271028;4.022856925387511;;;4.108587754334493
Seattle;;4.256859223769253;4.756536036036036;;4.2452217346209595;2.289735294117647;3.9330043635512344;4.155528778109785;4.275243795892732;4.322323567008515;;4.2604117896877955;;1.6142090277649936;;;2.5841505681818187;;2.74944834304211;;4.277424945812835;4.108588564632339;2.413647727272727;3.565873184647302;4.048385161818322;;;4.025893038176503
Chicago;1.8624000000000005;3.6602729012669903;4.667823604651162;;3.3773777515723267;3.215160472972973;3.7424582875457872;4.2308487184101295;4.182900644961317;4.120795894271785;;4.056315941939793;;1.7540751785527826;;;2.6042324999999993;;3.352406751871042;1.2134409000000002;4.046458075955329;4.061692470714692;;3.25917423310042;4.063952550513808;;;3.9857510560646725
Miami;;3.9571711640329585;4.151535433070866;;2.5255650462962964;3.0604197530864194;2.8010014204545453;3.9569921768788623;3.576750946260794;3.1181016791044773;1.4333333333333333;;;4.00699125883663;;;1.88240625;2.6819035532994926;2.8891044416289735;2.611030387931035;1.0277333333333334;3.368484554309359;;1.9460812500000002;3.8456660023418316;;;3.7965605093478243
Washington DC;;2.165154770497652;0.7215999999999998;;3.717146963824289;3.694953846153846;3.7231920336787567;4.236584097059494;4.189804875158647;3.838860545100584;;;;1.0909264;;;3.218550675675676;;2.6913649193548386;;1.0372999999999997;4.200186685593643;;4.242152879357719;4.16636994403864;;;4.074523520238661
Las Vegas;1.9655089285714287;4.236129647439631;2.7379285714285717;3.309398302469136;3.0091463414634148;2.8238788005689943;2.9382015674666415;3.910576636857163;4.05450113151395;4.008096153846154;;;;3.717392600669424;;;3.759501008064516;3.5229937825878777;3.5253305699995168;;3.142265004339692;4.078301308179054;;3.6792973174750228;4.183807566630277;;;3.7530566808822545
Mexico City;;4.268079632234728;1.4333333333333333;;4.276041697901049;2.733529605263158;4.249106979308006;3.7791584428727383;4.2276543441438985;3.585903367158672;2.16329375;;;3.7338903008298754;;;3.632553650442478;1.2282666666666664;3.665836515335339;2.0847499999999997;1.4786278333333334;4.18705108672817;;2.4522772393707486;4.0514325003936404;;;3.9447748347423177
