Location;Driving;Sports;Music;Party;Markets;Events;Shopping;Nature;Sophistication;Water;Adventure;Relaxation;Surfing;Animals;Skydiving;Kayaking;Food&Drink;Nightlife;Fun;Biking;Outlook;Art;Wintersports;Hiking;Culture;Tours;Diving;Sightseeing
Melbourne;;4.057412781124896;1.4424449999999998;;4.249979361102703;3.48271438172043;3.8950705405417247;4.373115689183387;4.254723944423157;3.755918637089111;;3.749940033783784;;2.3272222393050748;;;4.196834051724138;1.0433248;3.5838726767307554;1.9269999999999998;3.3966892683637067;4.269013365968133;;3.868718565088757;4.141296766330325;;;3.9390651052584764
Sydney;;3.9076399898373984;4.334264167650532;;3.2429359366096633;3.4107325342066357;3.345964178013444;3.9046439711342584;4.057391748028079;3.9719407115439984;;4.186845829674401;;1.9507171349798071;;;4.241422131147541;2.4349091794217683;3.142005855640535;;4.23794649675685;4.073654676058022;;4.461823097608661;4.105654150236554;;;3.9621056334440814
Hobart;1.3666666666666667;2.0649829545454548;;;4.33906058971004;;2.297120077691063;3.832492842907689;4.128348330618892;3.7230333904109587;;3.7874588541666663;;;;;;1.6986666666666663;1.6986666666666663;;4.214245223577236;4.315164588661552;;2.38484125;4.192108371471159;;;4.100092822227959
Suva;;;;;3.462343573446327;;3.462343573446327;3.538191489361702;;;;;;;;;;;;;;;;;3.6962023060796643;1.3666666666666667;;2.356185714285714
Port Moresby;;;;;;;;4.06311156716418;2.005333333333333;2.027784274193548;;1.1781333333333333;;3.2676167800453513;;;;;;;1.1781333333333333;2.005333333333333;;;4.537137212643678;;;3.0589586925287353
Bora Bora;;;;;;;;4.788359748293515;1.9276818627450982;4.039190550472312;;1.1947005;;2.3280000000000003;;;;;;;1.1947005;1.9276818627450982;;;1.7751000000000003;;;2.666666666666667
Perth;;3.646942510932944;2.3280000000000003;;;;2.395876187106918;3.9628366751394117;3.8840085918491485;3.890473462658504;;3.005333333333333;;1.0500677333333333;;;;2.0053333333333327;2.8826666666666663;;3.9579222032935832;3.8416391917293238;;3.188754696531792;4.039039408149654;;;3.7912576718148387
Adelaide;;1.2245279999999998;2.666666666666667;;2.7482180386228614;3.3465000000000003;2.7482180386228614;4.03487804360786;3.5798319174026605;4.131056787634409;;4.254298049132948;;1.7683324312500002;;;2.3602361111111114;1.408;2.643170374293785;2.44359375;4.254298049132948;3.471627938338021;;3.342677641445126;4.081585542012069;;;3.9771764332747948
Papeete;;;;;2.005333333333333;;2.005333333333333;3.1439812206572766;1.8;;;;;;;;;;;;;1.8;;;3.654862565445026;;;3.138359375
Auckland;3.339770625;3.588231707317073;;0.6233333333333333;3.9530004370629372;;3.8870004237288134;4.260203022659905;3.814386347507427;4.421390357511683;;4.2240902300824175;;1.2409404000000004;;;3.221544776119403;1.6986666666666665;3.03788175;2.411395833333333;4.246453763643104;3.4156259869000447;;4.0918837316176475;4.210078229629397;;;4.015045736015408
