Location;Driving;Sports;Music;Party;Markets;Events;Shopping;Nature;Sophistication;Water;Adventure;Relaxation;Surfing;Animals;Skydiving;Kayaking;Food&Drink;Nightlife;Fun;Biking;Outlook;Art;Wintersports;Hiking;Culture;Tours;Diving;Sightseeing
Santiago;;3.2664366071428566;;1.2031999999999998;4.018201602987276;;3.720608968825672;3.8968492141824496;4.104285658018689;3.472615210843373;;;;3.788645194074398;;;3.6366329966329967;;3.7303723690364827;;2.135194105123267;3.9523251645242916;4.008203988175525;4.075267849919094;3.959585316764209;;;3.8586555006880725
Buenos Aires;;4.0245982128833075;;;3.9077653594513744;;3.8188454336502633;3.8141037715818187;4.078929598658213;4.255267422334173;;;;0.8995289333333332;;;3.6814981416275425;2.870530102217602;3.707706106651376;;3.7299508196721307;4.083062529880241;;3.675467443740074;3.907043178613597;;;3.6401758470441803
Asuncion;;3.0176346153846154;;;1.1967999999999996;;4.280112933168318;2.9874881465517236;4.02316523159145;1.2282666666666664;;;;1.6986666666666665;;;;2.882666666666667;3.6759423076923077;;;4.0387279676259;;;3.7556760007022465;;;3.607910824190526
Caracas;;2.700982638888889;;;;;;3.2999204136690654;3.8272995263591434;2.446275538793103;;1.1439999999999997;;3.191003919491526;;;;;;;1.1439999999999997;3.8520449120603013;;;3.910117641885553;;;3.708414804179354
Montevideo;;3.6870932944606416;;;3.2039042540655567;;3.1909913645364174;3.879466287182557;4.205085149955803;3.02320143884892;;3.0069566416488667;;2.1128968253968257;;;1.0528;4.2210909090909094;4.190038468844985;1.7169000000000003;3.0069566416488667;4.153571243862216;;0.9979666666666666;3.841121221830643;;;3.69023582607937
Rio de Janeiro;;3.762682958517332;2.3280000000000003;;3.72631821820677;4.341706009615384;3.71151406046814;3.8294410380263493;3.671279322772863;3.9190535474800803;;3.970071769686006;;3.507164427953609;;;1.7183994791666666;1.6986666666666665;3.1936697036784745;1.4538666666666666;3.9823118387848395;3.6786776311813942;;3.3419464693987795;3.968741869626608;;;3.9665678790418
Quito;;1.4841000000000002;;;1.3666666666666667;;1.9645833333333336;4.148697905927835;4.229013812910284;2.508770833333333;;;;3.5988340517241375;;;;;3.788552247191012;;2.3843812500000006;4.234363524140454;;1.819324725;4.10940414219281;;;4.040623295196995
La Paz;;4.76252624671916;;;1.6986666666666665;;1.6986666666666665;4.205168341669873;3.6703058823529413;1.0372999999999997;;;;1.6986666666666665;;;;;;1.2150414;3.9868098309608535;3.6703058823529413;3.291508356741573;2.1243000000000003;3.7030253340976427;;;3.921029296432751
Lima;;3.3221135752688173;;;3.6055075000000003;;3.5115394736842105;4.034220723862042;4.246726240496199;3.1093545258620687;;3.0536623351686782;;2.826735561618917;;;3.9030870535714284;2.920950168918919;2.9545725574712645;;3.0277194150594835;4.2642107793522275;;4.319418655097614;4.116042337150212;;;3.8690472116246704
Bogota;;3.2743966584158417;4.5504468750000004;;4.3515923517897095;2.0723839285714285;4.327834875690608;4.126786208726416;3.8806919745278114;3.1337339449541277;;;;1.408;;;;2.47221875;3.677345427259887;1.9271241054235169;3.93759649122807;3.7917084521137303;;4.006380208333334;3.9957905823089304;;;3.890362804471768
